,ann_return,ann_vol,sharpe,max_drawdown,calmar,sharpe_gross,avg_turnover
robust,0.016196471653188604,0.052118289879478176,0.33449196718531116,-0.1829506895219596,0.08852916430929625,0.4627772841145768,0.5551643765145202
markowitz_lw,0.017374987249245688,0.09471290926995395,0.2297371440585212,-0.25902723234378533,0.06707784000944468,0.3779361284486164,1.1686956891490368
markowitz_naive,0.015963159867536936,0.09370226745677887,0.21635410966408816,-0.2602285370712323,0.061342849047978716,0.36594623066602217,1.1669403606100055
equal_weight,0.051611416767201934,0.08723988530229515,0.6215783913641841,-0.19564084911179958,0.26380695545697835,0.6255795399989535,0.021625796567502444
