model,rmse,mae,ic_mean,ic_ir,hit_rate,n_obs
gbm,0.04024139890972719,0.027675209496201697,0.029991756226914405,0.08486424949846,0.5573575949367089,2528
historical_mean,0.03884262887319602,0.02726662263293877,,,0.5783227848101266,2528
moving_average,0.055916210791018786,0.03887672460745762,0.017702903946388685,0.038395823496467626,0.504746835443038,2528
ridge,0.04001893374198216,0.027968758603309385,-0.021965748324646314,-0.05201508787731781,0.538370253164557,2528
